1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
1130	-0.551447	56.620491	598.254017	0.007461	28.5
1131	-0.532729	57.315492	592.944890	0.006823	27.5
1132	-0.516865	58.315492	585.469114	0.007981	28.0
1133	-0.534541	57.348064	592.698378	0.008947	27.3
1134	-0.549652	56.380637	600.108405	0.008790	27.7
1135	-0.548481	57.380365	592.454124	0.010687	25.0
1136	-0.515103	58.380365	584.990639	0.009990	24.9
1137	-0.529570	59.380365	577.712859	0.007794	24.6
1138	-0.536599	60.380351	570.614034	0.008457	25.2
1139	-0.542057	60.205908	571.839803	0.008613	25.3
1140	-0.554319	61.122940	565.454310	0.007286	27.6
1141	-0.509368	62.122934	558.651725	0.006695	27.7
1142	-0.557223	62.011813	559.399547	0.009213	30.8
1143	-0.530139	61.044390	565.995686	0.009615	28.9
1144	-0.524249	60.975664	566.470195	0.009160	29.1
1145	-0.537632	60.008237	573.235171	0.010710	29.7
1146	-0.530280	61.008190	566.245528	0.010257	30.4
1147	-0.521291	61.451329	563.202210	0.009585	29.5
1148	-0.531066	61.183075	565.040562	0.006596	26.6
1149	-0.536627	62.183055	558.247956	0.008843	27.2
1150	-0.553069	61.215782	564.815772	0.011244	27.6
1151	-0.541141	62.215782	558.028409	0.011393	25.6
1152	-0.544051	63.215782	551.402235	0.009926	25.0
1153	-0.532419	64.004666	546.284962	0.007910	24.9
1154	-0.522735	63.037238	552.573734	0.010436	24.8
1155	-0.516766	64.037238	546.075713	0.009589	24.9
1156	-0.549971	65.037029	539.730060	0.007829	24.7
1157	-0.506247	64.069601	545.867971	0.006371	25.0
1158	-0.526847	65.065327	539.552594	0.010033	24.7
1159	-0.545223	66.065327	533.355493	0.007270	25.0
1160	-0.539084	67.065287	527.299375	0.009238	24.9
1161	-0.526786	68.065287	521.379006	0.008073	25.1
1162	-0.542843	67.097862	527.104400	0.009187	24.7
1163	-0.552019	68.097855	521.188426	0.009119	25.3
1164	-0.536407	67.501303	524.701546	0.009440	28.2
1165	-0.529367	68.501296	518.839086	0.008068	29.8
1166	-0.542363	69.501296	513.106140	0.006135	30.6
1167	-0.560202	70.501279	507.498597	0.009118	28.7
1168	-0.522752	71.487572	502.086599	0.008644	27.0
1169	-0.536926	72.456329	496.882034	0.009976	28.5
1170	-0.542874	71.488901	502.079385	0.006832	28.3
1171	-0.561989	72.389392	497.238174	0.008758	27.8
1172	-0.541895	73.316684	492.349483	0.010990	29.0
1173	-0.524770	74.307623	487.230395	0.007825	26.0
1174	-0.518847	75.307623	482.171290	0.006882	27.2
1175	-0.516861	76.307623	477.216166	0.010689	27.3
1176	-0.524318	77.305691	472.371132	0.008342	27.8
1177	-0.525198	76.338264	477.065943	0.007061	26.0
1178	-0.532620	77.338243	472.214770	0.009007	24.9
1179	-0.542779	76.370815	476.906458	0.008527	27.0
1180	-0.531616	77.175105	472.999448	0.009046	25.7
1181	-0.542074	78.175092	468.230174	0.010366	27.0
1182	-0.523208	79.148074	463.681116	0.009632	25.6
1183	-0.521302	80.144287	459.114121	0.008058	24.8
1184	-0.541141	81.144287	454.619361	0.007784	24.5
1185	-0.526325	82.087983	450.457652	0.010793	25.1
1186	-0.536099	81.128696	454.688765	0.008004	24.4
1187	-0.546885	80.161269	459.037052	0.012457	24.8
1188	-0.537588	79.193842	463.469307	0.010128	24.9
1189	-0.524293	78.351549	467.398556	0.009530	24.9
1190	-0.530198	78.814220	465.232012	0.006187	24.7
1191	-0.538740	77.920068	469.437310	0.009753	25.4
1192	-0.527177	77.004840	473.821198	0.007248	24.8
1193	-0.535209	76.037442	478.544875	0.005911	24.9
1194	-0.548700	75.079869	483.314257	0.007637	24.6
1195	-0.514512	74.112442	488.230243	0.013663	24.9
1196	-0.544674	75.112442	483.150461	0.008330	24.5
1197	-0.550787	74.180771	487.879747	0.006554	27.4
1198	-0.541958	73.236430	492.768777	0.008257	25.1
1199	-0.531607	72.269003	497.879992	0.008071	24.9
1200	-0.522850	71.301576	503.098351	0.007792	24.5
1201	-0.535674	70.388433	508.125251	0.006301	25.1
1202	-0.533895	71.019430	504.640927	0.005150	24.5
1203	-0.544379	70.052314	510.000995	0.007431	24.8
1204	-0.525501	69.105513	515.359927	0.008952	24.5
1205	-0.511733	69.882086	510.956256	0.011957	25.0
1206	-0.540186	69.007644	515.920299	0.007765	24.6
1207	-0.547357	70.007644	510.251324	0.008056	24.8
1208	-0.524940	71.007479	504.706480	0.008263	24.7
1209	-0.561009	71.931664	499.687281	0.006903	24.8
1210	-0.532739	70.964237	504.943793	0.007314	24.7
1211	-0.542100	71.964237	499.512202	0.008213	25.0
1212	-0.511803	71.029435	504.586069	0.008586	24.7
1213	-0.522507	70.207380	509.133914	0.009758	25.2
1214	-0.525819	71.207380	503.612297	0.009443	24.5
1215	-0.545102	71.526564	501.875016	0.006949	24.9
1216	-0.547172	72.526066	496.511538	0.007246	24.5
1217	-0.522433	73.526066	491.258896	0.009175	25.6
1218	-0.525687	72.558815	496.337736	0.009052	24.6
1219	-0.521501	73.558815	491.088751	0.007810	24.6
1220	-0.550775	73.589577	490.929045	0.009152	24.5
1221	-0.534459	74.589577	485.793244	0.007894	25.5
1222	-0.531668	75.528371	481.068625	0.007295	24.7
1223	-0.520012	75.759587	479.919068	0.008381	25.5
1224	-0.537962	74.792159	484.765882	0.013038	26.5
1225	-0.546214	75.788328	479.776556	0.009803	25.3
1226	-0.525393	74.820901	484.620474	0.010382	27.0
1227	-0.520941	75.761029	479.911916	0.008858	24.6
1228	-0.549192	74.795207	484.750457	0.009167	24.8
1229	-0.540650	74.828675	484.581161	0.008685	24.7
1230	-0.545031	75.828675	479.576640	0.011369	24.9
1231	-0.527999	76.828675	474.674431	0.007017	24.4
1232	-0.536181	75.861248	479.415367	0.009210	24.9
1233	-0.532588	76.861248	474.516438	0.011543	25.6
1234	-0.536907	77.861248	469.716616	0.011388	27.2
1235	-0.532512	76.893820	474.358550	0.011792	24.5
1236	-0.539065	77.892820	469.566656	0.008519	24.8
1237	-0.520206	76.925392	474.205613	0.011115	25.2
1238	-0.537563	77.925162	469.413135	0.010241	24.9
1239	-0.544994	78.925162	464.715490	0.006716	24.8
1240	-0.530103	77.968841	469.205964	0.009602	25.0
1241	-0.547807	78.968841	464.512443	0.007965	24.6
1242	-0.528978	78.513708	466.636926	0.008182	25.7
1243	-0.538256	77.546283	471.217880	0.006900	24.7
1244	-0.517146	76.585954	475.855067	0.007836	25.2
1245	-0.522080	77.585952	471.028270	0.006489	24.8
1246	-0.542901	76.618525	475.696294	0.007650	24.8
1247	-0.549905	75.651300	480.456763	0.010406	24.9
1248	-0.536206	74.683872	485.314499	0.006875	25.1
1249	-0.551558	73.716445	490.271467	0.008644	24.5
1250	-0.536010	74.599545	485.742590	0.007638	25.0
1251	-0.530088	75.597474	480.724483	0.008323	24.5
1252	-0.531955	74.650559	485.483525	0.009593	25.5
1253	-0.531785	73.683132	490.443965	0.007868	24.8
1254	-0.520643	74.683132	485.318256	0.008538	25.1
1255	-0.539953	75.683132	480.298577	0.008338	24.8
1256	-0.528107	76.649551	475.545155	0.006893	25.2
